country,gdp_per_capita,gdp_growth,inflation,unemployment,exports_gdp,life_expectancy,infant_mortality,fertility_rate,health_expenditure,physicians,literacy_rate,school_enrollment_secondary,school_enrollment_tertiary,electricity_access,renewable_energy,mobile_subscriptions,internet_users,control_corruption,government_effectiveness,population,urban_population,poverty_ratio
Kyrgyz Republic,7046.31027413488,9.04013556120012,,3.289,,72.2487804878049,14.9,2.7,,,,91.339996215143,53.1743590503791,100.0,,108.591,,-1.22109532356262,-0.890727877616882,7224614,38.166,25.7
Lao PDR,8610.90166279666,4.25825724651581,23.1305695942589,1.218,,68.964,35.2,2.421,,,,51.8523602531839,,96.5,49.2,64.7588,,-0.973836362361908,-0.6432785987854,7769819,38.906,
Latvia,38936.0453870454,-0.44249112634327,1.26579885828729,6.72,64.6217028148455,75.6780487804878,2.5,1.36,,,,,,100.0,,119.91,92.7076,0.698113977909088,0.696560978889465,1862441,68.815,
Lebanon,,,45.2430422716718,,,77.817,16.0,2.239,,,,63.7923011779785,,100.0,,,,-1.22706246376038,-1.58038187026978,5805962,89.603,
Lesotho,2637.91651023395,2.76223818532688,6.10544624245031,16.147,,57.375,55.4,2.694,,0.151,90.4499969482422,,,57.3,34.9,69.3513,,-0.509478509426117,-0.953606307506561,2337423,30.897,
Liberia,1658.2599942501,4.79291482156812,8.21497439118963,2.882,,62.163,52.6,3.95,,0.18,,,,32.5,92.8,,,-0.888349294662476,-1.35536432266235,5612817,54.077,
Libya,12275.9104976538,-0.605832526910618,2.12615766885024,18.615,74.8273178195231,69.339,15.9,2.355,,,,,,73.2,,,,-1.52501881122589,-1.63588905334473,7381023,81.907,
Liechtenstein,,,,,,84.8414634146342,,1.45,,,,,,100.0,56.9,127.059,,1.71017241477966,1.62781953811646,40197,14.707,
Lithuania,47169.0084190287,2.77263124530285,0.715735835228697,7.504,74.1139807545184,76.9878048780488,2.8,1.18,7.29381466,5.127,,,,100.0,,137.204,,0.781545519828796,1.05012118816376,2888055,68.936,
Luxembourg,128181.703344823,1.03161671348924,2.05113269954858,5.935,215.502405357575,83.3585365853659,2.0,1.25,5.78284121,,,,,100.0,,144.475,98.7606,1.92665910720825,1.91421329975128,677717,92.266,
"Macao SAR, China",112843.96274393,8.80815968461638,,2.437,89.7521534090064,83.1804878048781,,0.586,,,,94.6616766467066,141.864795918367,100.0,11.0,192.478,,0.849051773548126,1.08997046947479,687000,100.0,
Madagascar,1657.0497062251,4.19999999998224,,3.012,23.6250395964955,63.632,44.2,3.972,,,,,,39.4,83.1,75.4563,,-1.00018215179443,-1.02277612686157,31964956,41.231,
Malawi,1635.85689673716,1.82685000010194,32.1796504225026,5.045,,67.353,29.4,3.648,,0.049,,,,15.6,62.9,61.0866,,-0.602811515331268,-0.859506547451019,21655286,18.598,
Malaysia,34071.9449554711,5.11415547829091,1.834100204499,3.826,71.3546178043924,76.657,6.8,1.55,,,,80.2757406864183,38.5013945445142,100.0,,142.732,98.0206,0.295621365308762,0.875369668006897,35557673,79.201,
Maldives,23351.0538990332,5.13396223082093,1.39979779674922,4.636,,81.041,5.0,1.575,,,,,,100.0,1.2,141.601,,-0.396943330764771,-0.127973482012749,527799,42.407,
Mali,2910.81542295398,5.00454593743036,3.20639864099661,3.06,22.5172135935628,60.439,57.6,5.614,,0.195,,,,54.5,71.1,,,-0.861831545829773,-1.13859808444977,24478595,46.934,43.3
Malta,60473.2580715114,5.96928196125685,1.65079469283108,2.703,123.466079204708,83.5073170731707,4.8,1.06,,,,,,100.0,,140.594,,0.10974658280611,0.397335052490234,574346,95.006,
Marshall Islands,7212.33432756108,2.77096802231969,,,,66.945,23.5,2.919,,,,85.7558642960298,37.6853053112652,100.0,12.2,,,0.411750495433807,0.069975346326828,37548,79.208,
Mauritania,6396.99125827366,5.2,2.49164347481971,10.373,,68.484,31.0,4.697,,0.236,,,,50.3,19.6,90.7725,,-0.822652637958527,-0.763598620891571,5169395,58.458,
Mauritius,27317.185283655,4.69390318398504,3.60452203847959,5.476,46.2060061842776,73.4121951219512,13.5,1.39,,1.197,,90.7246586359898,45.7771156388358,100.0,,165.258,,0.453197360038757,0.710137605667114,1259509,40.944,
Mexico,22033.2744496619,1.4540624784799,4.72225588452935,2.711,36.7857440701926,75.069,10.8,1.91,,,95.7654716766416,,,99.7,,111.562,,-1.02057874202728,-0.198361441493034,130861007,81.862,29.6
"Micronesia, Fed. Sts.",3823.60411002339,0.719083511742554,,,27.4698992778408,67.198,20.8,2.748,,,,,,86.9,2.0,,,0.783704280853271,0.232347309589386,113160,23.555,
Moldova,16465.9286876097,0.103059412450989,4.67773516007053,1.434,31.4135471152499,71.198,13.5,1.731,,,,99.3439166347193,74.7109378669046,100.0,,130.772,,-0.28033846616745,-0.164951995015144,2389275,43.599,
Monaco,,,,,,86.372,2.3,2.11,,,,158.546615600586,77.4806900024414,100.0,,104.061,,1.25135612487793,2.02295255661011,38631,100.0,
Mongolia,16801.3067931352,4.86400143355705,6.20567819137862,5.424,69.1382654428279,72.1224390243902,11.4,2.7,,,,,69.044059753418,100.0,,141.085,,-0.492604404687881,-0.47153577208519,3524788,69.263,
Montenegro,27853.6429505921,3.04031579750065,3.3367500928228,14.1,44.8732439316754,77.5878048780488,2.1,1.74,,2.752,,,,100.0,,207.238,88.8826,-0.0793098732829094,0.247063115239143,623831,68.84,
Morocco,9065.9140625,3.23651373521014,0.985256592004508,8.943,43.2859081528275,75.313,15.5,2.23,,,,89.9834863018408,48.1839617510572,100.0,,148.155,,-0.536348581314087,-0.0359151102602482,38081173,65.643,
Mozambique,1495.3224081402,1.85177502474457,4.07856834812022,3.527,42.7340803038039,63.611,45.4,4.763,,0.082,,,,36.0,,,,-0.828437745571136,-0.716628909111023,34631766,39.326,
Myanmar,5276.29433987853,-0.97204641363362,,3.032,,66.889,34.1,2.115,,,,,,76.8,,121.028,,-1.21649932861328,-1.75280201435089,54500091,32.47,
Namibia,10281.3356370344,3.71154497416239,4.23903922877039,19.148,41.6438674740671,67.385,38.4,3.212,,0.543,,81.9566828199727,,56.7,,87.6761,,0.110072031617165,0.0308966562151909,3030131,55.795,
Nauru,12604.062534187,1.76025162233491,,,39.4762621359081,62.109,8.3,3.331,,,,91.5133521769495,,100.0,1.9,,,0.58861643075943,-0.0678080692887306,11947,100.0,
Nepal,5046.81592972946,3.66537430744968,,10.706,7.62189857137715,70.354,23.3,1.984,,,,90.3878462155916,21.2915596292014,94.0,,,,-0.50792795419693,-0.807803750038147,29651054,22.366,
Netherlands,70901.8384173158,0.979674921515965,3.3475430421995,3.599,84.1345895257536,81.9146341463415,3.5,1.43,,,,,,100.0,,117.352,,1.86710047721863,1.62553191184998,17994237,93.453,
New Caledonia,,,,11.15,,78.766,,1.98,,,,,,100.0,9.6,,,,,292639,73.106,
New Zealand,48162.8610868634,-0.126462418567272,2.92279782301955,4.869,,83.0048780487805,4.0,1.56,,3.574,,,,100.0,,126.855,,2.08409547805786,1.5299768447876,5338500,87.091,
Nicaragua,7661.60202722818,3.5878302292345,4.62473841057143,4.574,40.4630624895997,74.947,10.3,2.218,,,,,,88.3,,105.843,,-1.38844013214111,-1.08494555950165,6916140,60.155,
Niger,1772.72451186128,8.42159789525454,9.07151997725012,0.355,31.1539601091784,61.183,67.4,6.061,,0.023,,19.8664761204349,,20.1,,65.735,,-0.563843965530396,-0.640915930271149,27032412,17.232,
Nigeria,5665.45157716197,3.42643947135149,33.2420966545405,2.989,,54.462,60.1,4.482,,0.394,70.4100036621094,,,61.2,,98.4773,,-1.04097437858582,-0.847906708717346,232679478,55.03,
North Macedonia,24465.3919306751,2.75624917338976,3.48974086026954,13.417,62.6777180012752,75.3160975609756,2.8,1.5,,,,,,100.0,,104.837,,-0.34861546754837,-0.0513173453509808,1792179,59.868,
Northern Mariana Islands,,,,,,78.808,,2.348,,,,,,100.0,0.5,,,,,44278,92.171,
Norway,91108.2369704645,2.10045327837291,3.14530134431072,3.97,47.5575282596141,83.1121951219512,1.9,1.4,,,,,,100.0,,,,2.11352157592773,1.79993534088135,5572272,84.318,
Oman,36654.2311606123,1.67407663008134,0.593589236248421,3.161,,80.031,8.4,2.525,,2.058,,,,100.0,,135.218,95.2517,0.215157955884933,0.274613231420517,5281538,88.998,
Pakistan,5530.99612925916,3.23478443210148,12.6325318530452,5.472,10.4027532753085,67.649,50.1,3.605,,,,48.2805022055997,10.8564126844434,95.6,,76.5398,,-0.999357461929321,-0.577790379524231,251269164,38.365,
Palau,,,2.23172772921704,,,69.269,19.1,1.907,,,,,,100.0,0.9,135.387,,0.58861643075943,0.442303985357285,17695,82.839,
Panama,36426.007943645,2.86166663523247,0.693225551004513,6.518,,79.594,10.6,2.119,,,96.256135181795,,,97.0,,156.587,,-0.62809419631958,-0.209720730781555,4515577,69.888,
Papua New Guinea,4300.72597086628,4.09502900203009,0.602403921107926,2.741,,66.134,32.0,3.099,,,,,,20.5,54.6,34.0589,,-0.657154023647308,-0.802389979362488,10576502,13.88,
Paraguay,16296.2836189267,4.24996010464042,3.83540271728534,6.093,37.2016814689888,73.844,15.1,2.422,,3.882,94.8600006103516,79.1305613911018,,99.8,,126.605,81.5781,-1.05772292613983,-0.462065368890762,6929153,63.489,20.1
Peru,15661.7497711956,3.30394098171516,2.00770739412715,4.828,28.5375908830267,77.74,13.5,1.98,,1.621,93.6600036621094,,,96.2,,121.975,81.9571,-0.721040904521942,-0.491872787475586,34217848,79.139,27.6
Philippines,10375.9404179938,5.69201612823412,3.21260487006343,2.153,25.7734411549927,69.833,22.1,1.916,5.10629606,,,85.2945085684493,47.4134996154186,98.0,,117.276,,-0.537639975547791,0.154091909527779,115843670,48.614,
Poland,45112.5993993196,2.9233880806669,3.78426007512869,2.472,52.3289523696531,78.5073170731707,3.7,1.158,7.00451565,,,,,100.0,,135.146,88.585,0.565399944782257,0.421437799930573,36554707,60.33,13.3
Portugal,41883.8514202164,1.92844406043977,2.41613187791876,6.384,46.4796504104344,82.2804878048781,2.6,1.44,10.00331116,,,,,100.0,,123.002,88.487,0.696312069892883,0.987550020217896,10701636,68.423,
Puerto Rico (US),44124.5409552385,3.22670542229149,,5.472,51.9448671543171,81.69,,0.92,,,,81.4824139700154,,100.0,2.5,124.513,,0.0196014605462551,-0.389062345027924,3203295,93.664,
Qatar,110945.880494642,2.76841433597697,1.26734310292379,0.126,,82.368,4.9,1.729,,,,,,100.0,,157.821,,0.702209830284119,1.19741261005402,2857822,99.387,
Romania,40610.7541380693,0.81368720348209,5.72140574354435,5.379,35.5961962558882,76.6073170731707,5.4,1.71,,,,,,100.0,,123.252,91.2905,0.0404953435063362,-0.0926659479737282,19069340,54.88,
Russian Federation,41704.7109375,4.34437475491529,,2.527,21.91660028345,73.2546341463415,3.7,1.41,,,,,60.3891235376867,100.0,,180.842,94.365,-1.10467827320099,-0.712461888790131,143533851,75.548,
Rwanda,3264.64451474392,8.89065529573114,1.77029240198634,11.994,30.8220804418076,67.785,30.5,3.698,,,,48.790277194547,9.41173924647801,63.9,79.9,91.4623,,0.671653091907501,0.388362646102905,14256567,18.081,
Samoa,6894.88985532565,9.42235044158694,2.17245530514378,4.551,29.3155087694974,71.698,12.8,3.829,,,,,,100.0,35.9,,,0.727086067199707,0.492577105760574,218019,17.42,
San Marino,,,1.24216507945573,,,85.706,1.4,1.149,,,,60.3746397694525,57.5487465181059,100.0,,,,1.25135612487793,1.20168173313141,33977,97.932,
Sao Tome and Principe,5480.43526105768,0.900000598992492,14.3519273571008,9.17,,69.718,9.4,3.644,,,,,,81.3,42.5,63.4541,,0.360224694013596,-0.90243524312973,235536,77.014,
Saudi Arabia,62676.6979803733,1.80795515147298,1.68792112375813,3.896,29.1640961338684,78.732,4.9,2.28,,3.077,97.9300003051758,110.66346516974,83.884129573915,100.0,,157.775,100.0,0.536042988300323,0.796441078186035,35300280,85.171,
Senegal,4495.89489345838,6.89200740291385,0.804503298792415,2.992,28.0565616042404,68.683,30.2,3.818,,0.126,,,15.3302400879779,74.2,,123.912,,0.0578322261571884,0.0696751922369003,18501984,50.08,
Serbia,26886.0087460398,3.87801279597191,4.67052974889971,7.39,52.6925515136692,76.2209756097561,4.5,1.61,,,,,,100.0,,128.471,87.6907,-0.447204262018204,0.00763431889936328,6587202,57.371,
Seychelles,29241.7758048825,3.46568066415341,0.311726050919631,,85.1683361715703,74.9585365853659,13.1,2.02,,3.819,,70.824577331543,14.5342502593994,100.0,1.9,184.904,,1.62884771823883,0.624744176864624,121354,59.242,
Sierra Leone,3092.8305770948,4.00000002570113,28.6337500014115,3.126,20.9398351534473,61.786,56.2,3.791,,0.043,,,,35.5,71.6,,,-0.574557840824127,-1.1555837392807,8642022,44.779,
Singapore,132569.525225795,4.38802362461865,2.38951123595021,3.182,178.776286814392,82.8951219512195,1.7,0.97,,,,,,100.0,,173.2,94.3776,2.04018402099609,2.31747198104858,6036860,100.0,
Sint Maarten (Dutch part),45821.8077205674,3.49999999999999,,,,76.371,,1.447,,,,,,100.0,0.0,,,,,43350,100.0,
Slovak Republic,40346.5748138478,2.06167771773576,2.75760909424273,5.234,85.2230052577423,78.0170731707317,5.1,1.49,,,,,,100.0,,138.233,89.8251,0.292565286159515,0.229512304067612,5422069,54.172,
Slovenia,48495.889687081,1.59101479921402,1.96562656432507,3.357,81.5346691267021,81.9780487804878,1.8,1.51,9.41330814,,,,,100.0,,129.228,90.7636,0.776647090911865,1.03929400444031,2126324,56.438,
Solomon Islands,2527.07485921558,2.53934191702432,4.32183948388033,1.47,,70.528,16.5,3.557,,,,,,81.3,50.1,,,-0.134710744023323,-0.733603537082672,819198,26.488,
"Somalia, Fed. Rep.",1408.27829822017,3.97232080866033,,18.861,20.0191554288892,58.816,67.8,6.132,,,,,,50.3,95.4,53.958,,-1.73283362388611,-1.98020255565643,19009151,48.519,
South Africa,13598.7888656984,0.579853692303914,4.36115246518963,33.168,31.8498451859901,66.139,24.4,2.216,,,91.1500015258789,,,87.7,,171.509,,-0.284670442342758,-0.256946682929993,64007187,69.298,
South Sudan,,,91.4408220769045,,,57.617,72.6,3.864,,,,122.120628356934,,5.4,,46.6152,,-1.96955537796021,-2.32788825035095,11943408,21.56,
Spain,48373.0455699185,3.15019564517223,2.77417826534775,11.394,37.2927827939586,83.8829268292683,2.6,1.12,,,,,,100.0,,127.715,95.7575,0.629368722438812,0.752065539360046,48807137,81.802,
Sri Lanka,13752.836740386,5.00871930957159,-0.42936004906972,4.996,19.8863207168995,77.483,5.3,1.974,,,,,,100.0,,142.277,,-0.383976995944977,-0.25227889418602,21916000,19.416,
St. Kitts and Nevis,31270.6888200244,1.1664402290746,1.09538753034508,,,72.145,14.3,1.505,,,,,,100.0,1.5,118.893,,0.413433611392975,0.380410820245743,46843,31.221,
St. Lucia,24252.4688588491,3.89175024218898,-0.110283575834663,10.928,,72.697,14.3,1.379,,,,87.8672424011515,,100.0,9.7,,,0.54412841796875,0.0738346204161644,179744,19.306,
St. Martin (French part),,,,,,80.224,,2.718,,,,,,100.0,,,,,,26129,,
St. Vincent and the Grenadines,18714.198849353,4.06183490050209,3.62770736940929,18.056,,71.23,9.9,1.775,,,,,,100.0,5.1,101.631,,0.737308144569397,0.0738346204161644,100616,54.725,
Sudan,1871.58911132813,-13.4932920592869,,,1.1931023933208,66.331,39.2,4.323,,,,,,66.0,,,,-1.50206708908081,-1.97706210613251,50448963,36.752,
Suriname,19413.2971787064,2.83958602846054,16.2296159130279,7.325,,73.631,15.2,2.249,,,,,,99.6,,157.246,,-0.404351592063904,-0.967238128185272,634431,66.533,
Sweden,63258.9079924002,0.973832212948594,2.8358165822403,8.528,54.601308444525,83.309756097561,2.0,1.45,10.88682365,,,,,100.0,,140.266,95.5293,2.0282461643219,1.60138332843781,10569709,88.976,
Switzerland,82026.4087304591,1.30233332541106,1.06234041976597,4.11,72.1589447667905,84.0560975609756,3.5,1.33,,,,,,100.0,,128.64,,2.02199912071228,2.13492703437805,9034102,74.327,
Syrian Arab Republic,,,,12.962,,72.12,19.0,2.712,,,,38.736930847168,,88.4,,72.4406,,-1.7502247095108,-1.78816211223602,24672760,58.044,
Tajikistan,4755.93296704719,8.39999980983981,,11.635,,71.79,22.9,3.072,,,,86.9035257819264,35.6398418742497,100.0,,,,-1.37873339653015,-0.772318005561829,10590927,28.523,19.8
Tanzania,3713.26293945313,5.5263138305945,3.05694676312369,2.576,19.830482870244,66.995,29.9,4.606,,0.133,,,4.01880979537964,48.3,,105.4,,-0.319897323846817,-0.455080926418304,68560157,38.136,
Thailand,21737.1779720129,2.52596175771495,1.3658054079804,0.693,70.0638885497948,76.412,8.0,1.212,,,,92.507325535959,44.9845744019321,100.0,,168.643,90.8672,-0.489050775766373,0.171705812215805,71668011,54.32,
Timor-Leste,4186.21470887981,-2.18912155633342,2.06284153005467,1.603,,67.689,35.9,2.707,,,,,,100.0,11.4,112.647,,-0.22670416533947,-0.841954410076141,1400638,32.842,
Togo,2849.60384966171,5.30000531416641,2.862620740898,1.94,24.3831729285804,62.739,35.9,4.192,,0.083,,,,59.2,,75.7907,,-0.619174957275391,-0.578052043914795,9515236,45.064,
Tonga,,,3.18364611260053,2.192,,72.895,8.0,3.129,,,,92.4258049730721,,100.0,2.3,,,-0.308315753936768,-0.115239478647709,104175,23.21,
Trinidad and Tobago,31689.7318842923,1.65060334585279,0.526884625776817,4.546,,73.49,17.2,1.532,,,,,,98.7,,134.231,,-0.374148547649384,-0.0436432547867298,1368333,53.562,
Tunisia,12713.5498473821,1.35065253490181,7.20661657168791,16.203,48.4349714546975,76.508,10.6,1.832,,,,,,100.0,,134.136,,-0.341899782419205,-0.300515085458755,12277109,70.88,
Turkiye,35294.3936777926,3.18402435479221,58.5064507300342,8.449,28.045069179622,77.156,9.1,1.51,,,,,,100.0,,105.684,87.3079,-0.50248908996582,-0.247911587357521,85518661,77.893,
Turkmenistan,17953.8457867577,2.26411722659043,,4.304,,70.073,31.2,2.69,,,,94.6464126735365,20.4250351701637,100.0,,,,-1.42362427711487,-1.2064995765686,7494498,54.524,
Turks and Caicos Islands,33390.5267148059,5.63682517443362,,,,78.008,4.0,1.463,,,,119.728975687525,,100.0,0.8,,,,,46535,94.433,
Tuvalu,,,,,,67.105,17.1,3.208,,,,90.6571654790182,,100.0,5.2,,,0.646379947662354,-0.449751287698746,9646,66.928,
Uganda,2881.8659466843,6.13645201846398,3.32338067086562,2.941,16.9052124080191,68.252,27.6,4.283,,0.168,,,,51.5,90.9,76.2967,8.94983,-1.04257476329803,-0.549508571624756,50015092,27.389,
Ukraine,16319.8447265625,2.91382221470535,6.50198464669252,,29.4102139813249,73.422,7.8,0.977,,,,,85.2667604023424,100.0,,122.758,,-0.686146318912506,-0.357320100069046,37860221,70.284,
United Arab Emirates,68584.65491599,3.76161544553149,1.66336510224892,2.133,,82.909,4.0,1.2,,,98.8099975585938,102.129724902444,63.7384451086316,100.0,,199.424,100.0,1.07366383075714,1.60428190231323,10876981,88.008,
United Kingdom,52517.9848574945,1.10066786639271,3.27157294635921,4.111,30.6377190511784,81.2380975609756,4.0,1.56,10.872015,3.174,,,,100.0,,122.796,,1.48091387748718,1.16114270687103,69226000,84.884,
United States,75491.6084348903,2.79619035621393,2.94952520485207,4.106,10.8968750610333,78.3853658536585,5.5,1.6165,,,,,,100.0,,112.411,,1.12343263626099,1.21720099449158,340110988,83.515,
Uruguay,32038.7727288227,3.10825478066172,4.84914366613156,8.401,28.7607719167193,78.138,5.5,1.409,,4.63,98.9100036621094,,,100.0,,141.719,91.9911,1.57394731044769,0.850249707698822,3386588,95.852,17.3
Uzbekistan,10450.2051402852,6.49999999997677,9.62825465956682,4.488,22.7657914961328,72.388,12.7,3.5,,,,96.8399222342106,56.517478700865,100.0,,106.885,,-0.807529330253601,-0.283767521381378,36361859,50.626,8.9
Vanuatu,3169.23242933515,3.96725830607052,,5.064,,71.477,14.2,3.596,,,,,,61.6,25.0,89.2943,,-0.0148651544004679,-0.568605482578278,327777,26.147,
"Venezuela, RB",,,,5.475,,72.514,21.5,2.079,,,,97.7908172607422,,100.0,,70.2197,,-1.69000518321991,-1.599200963974,28405543,88.505,
Viet Nam,14415.2159532813,7.09118746633975,3.62109273885847,1.431,,74.588,14.0,1.913,,,,,37.5923642016718,99.8,,130.991,84.15,-0.415814280509949,0.126466900110245,100987686,40.195,
Virgin Islands (U.S.),,,,12.014,,80.519512195122,,1.98,,,,,,100.0,5.9,,,-0.018456656485796,0.654167771339417,104377,96.314,
West Bank and Gaza,3845.50297375419,-26.5575264529877,53.6691458303782,,21.0398873905084,65.17,14.3,3.311,,,97.9449803653341,,,100.0,15.4,76.6919,,-0.676133513450623,-1.20955741405487,5289152,77.877,
"Yemen, Rep.",,,,17.086,,69.295,34.7,4.59,,,,,,83.6,,50.8938,,-1.64893329143524,-2.27542042732239,40583164,40.477,
Zambia,3716.037353331,4.0431482994443,14.9856262747939,5.961,,66.349,30.9,4.101,,0.262,,56.7889289855957,,51.1,,102.062,,-0.477706879377365,-0.658970057964325,21314956,46.914,
Zimbabwe,3450.12970768715,2.02948414337123,,8.554,22.1056774617631,62.775,40.6,3.724,,0.166,,,7.74912957845971,62.0,,91.6344,,-1.26121604442596,-1.17033493518829,16634373,32.67,
